province,year,region,t,DFI,ln_DFI,gdp_per_capita,IS,Infra,Gov,Open,HC,phone_1984,ln_gdp,ln_gdp_national,province_effect,Gap,internet_trend,IV,east,central,west,province_id,year_id,t_trend
北京市,2011,东部,1,78.46540118847362,4.36265777843847,7.6510099473835655,1.3164892227701515,10.503354204420825,0.20405237700364715,0.02980642725894947,0.16367920725424445,45.2,2.0348376583904937,1.4491003344374924,0.06,0.2992415231793326,0.13861129258384414,0.1253046084957951,1,0,0,3,0,0
北京市,2012,东部,2,104.15231868194822,4.645854430367934,7.9885495598472955,1.2817634608069766,10.725728574536584,0.19917692336970053,0.03879013641005853,0.1827762910433594,45.2,2.078009211365262,1.5274060072423015,0.06,0.23708309013388504,0.4531890315903637,0.40968288455768886,1,0,0,3,1,1
北京市,2013,东部,3,143.2891868915095,4.964864874146911,8.047792913686413,1.3151107685066876,10.627497329826994,0.17460509913166178,0.03429432706301556,0.17521988096498636,45.2,2.0853978816255316,1.5687501673344662,0.06,0.17778361909747456,0.6258499868788465,0.5657683881384773,1,0,0,3,2,2
北京市,2014,东部,4,174.96017418976533,5.164558371965669,8.91317768646526,1.4241567391763634,10.74969863554727,0.2199919863741169,0.0333565514438963,0.20701005288271612,45.2,2.187530820601754,1.640350948131491,0.06,0.19071474001409416,0.8822349451393701,0.7975403904059906,1,0,0,3,3,3
北京市,2015,东部,5,216.28451538635514,5.376594741798901,9.782969277420161,1.369939698903748,10.712987084352147,0.20057075313583425,0.033562521683456824,0.19494836615774086,45.2,2.2806430450655935,1.7013743550305007,0.06,0.21045961438304137,1.0198651970555757,0.9219581381382405,1,0,0,3,4,4
北京市,2016,东部,6,298.92439666229524,5.700190687445474,10.47795194804241,1.4391561310917182,10.780914986751565,0.16062436033725327,0.03244726084975097,0.20437234916005467,45.2,2.3492732349898673,1.7674977287129054,0.06,0.18809706079186028,1.1643427283251688,1.0525658264059528,1,0,0,3,5,5
北京市,2017,东部,7,385.50148359246975,5.9545450414848755,11.162753780368293,1.4105106377889627,10.912512958265133,0.19862765242554728,0.030260548429080412,0.20534561227627524,45.2,2.412582681027565,1.826134876774546,0.06,0.17145751953268465,1.3747571671314023,1.2427804790867878,1,0,0,3,6,6
北京市,2018,东部,8,463.37173404110507,6.138529613247741,11.951885143179762,1.4456490618330309,10.977281473024899,0.20213699535833524,0.040095091825962464,0.22234638173716895,45.2,2.480889018503236,1.8985079690414615,0.06,0.1563221577019981,1.590808899012412,1.4380912447072205,1,0,0,3,7,7
北京市,2019,东部,9,599.7945136904304,6.396587119374827,11.973069203898318,1.485906324728806,11.03986130557373,0.20119702384921473,0.03725507404161632,0.25833567612336716,45.2,2.482659894714521,1.9579986356826673,0.06,0.0729175014253805,1.7317633622363062,1.565514079461621,1,0,0,3,8,8
北京市,2020,东部,10,730.3014651030479,6.593457414790077,14.270912621280033,1.619575858733592,11.124978625276492,0.20394912985708652,0.03310348938688435,0.2353980534217526,45.2,2.6582233832826105,2.0282091998460268,0.06,0.1645438152201552,1.6923363546580577,1.529872064610884,1,0,0,3,9,9
